URL,Size(Bytes),# of OutLinks,Content Type
nytimes.com/2024/09/17/nyregion/hochul-democrats-house-election.html,353310,115,text/html
nytimes.com/2024/04/06/business/economy/us-china-yellen.html,280683,110,text/html
nytimes.com/2013/09/18/movies/enough-said-stars-james-gandolfini-and-julia-louis-dreyfus.html,365713,129,text/html
nytimes.com/2024/09/14/world/europe/ukraine-long-range-weapons-atacms.html,299142,126,text/html
nytimes.com/interactive/2024/09/04/arts/editors-recommendations-below-deck.html,321538,109,text/html
nytimes.com/2024/05/25/world/europe/us-weapons-russia-jamming-ukraine.html,316197,117,text/html
nytimes.com/interactive/2024/us/politics/trump-harris-issues-election.html,738396,511,text/html
nytimes.com/2018/08/31/arts/television/danny-devito-its-always-sunny-in-philadelphia.html,293942,127,text/html
nytimes.com/2023/10/19/nyregion/jordan-speaker-ny-republicans.html,368837,124,text/html
nytimes.com/1987/07/17/movies/film-robocop-police-drama-with-peter-weller.html,265098,104,text/html
nytimes.com/2024/09/06/arts/television/fall-tv-shows.html,373066,146,text/html
nytimes.com/2021/08/27/arts/television/only-murders-in-the-building-hulu.html,338794,143,text/html
nytimes.com/2021/10/08/business/economy/california-housing.html,480169,136,text/html
nytimes.com/2015/11/09/us/missouri-football-players-boycott-in-protest-of-university-president.html,310816,120,text/html
nytimes.com/2015/03/18/us/secret-service-wants-a-fake-white-house-to-help-protect-the-real-one.html,334717,113,text/html
nytimes.com/2024/09/12/world/middleeast/un-school-gaza-israel.html,317989,124,text/html
nytimes.com/2019/10/13/us/politics/2020-democrats-gun-policies.html,655508,123,text/html
nytimes.com/interactive/2024/07/20/upshot/attention-experiment.html,258095,135,text/html
nytimes.com/2007/03/09/movies/09host.html,279898,101,text/html
nytimes.com/2024/09/24/arts/television/niecy-nash-betts-grotesquerie-fx.html,338404,129,text/html
nytimes.com/2021/06/01/us/politics/kamala-voting-rights.html,293899,120,text/html
nytimes.com/2021/04/01/movies/this-is-not-a-burial-its-a-resurrection-review.html,302969,125,text/html
nytimes.com/2024/04/17/us/politics/biden-tariffs-china-steel.html,349388,120,text/html
nytimes.com/2010/02/27/education/27sandiego.html,267325,102,text/html
nytimes.com/2017/02/23/movies/get-out-review-jordan-peele.html,362483,126,text/html
nytimes.com/2024/10/03/well/expired-covid-test.html,270185,112,text/html
nytimes.com/2022/09/25/us/politics/us-russia-nuclear.html,318959,125,text/html
nytimes.com/2024/10/02/arts/monet-turner-london-pollution.html,312292,113,text/html
nytimes.com/2019/03/26/arts/television/what-we-do-in-the-shadows-review.html,283643,124,text/html
nytimes.com/2024/10/03/us/jay-j-armes-dead.html,310409,109,text/html
nytimes.com/2019/12/01/us/politics/trump-trade-deal-usmca.html,322382,124,text/html
nytimes.com/2019/01/14/us/politics/nato-president-trump.html,377004,123,text/html
nytimes.com/2019/10/16/movies/the-lighthouse-review.html,366665,127,text/html
nytimes.com/2023/12/09/us/politics/trump-2025-nato.html,416216,143,text/html
nytimes.com/article/best-movies-amazon-prime.html,531704,247,text/html
nytimes.com/2020/04/09/arts/television/modern-family-series-finale.html,302268,120,text/html
nytimes.com/interactive/2019/06/18/upshot/cities-across-america-question-single-family-zoning.html,300831,73,text/html
nytimes.com/2024/02/14/us/politics/biden-palestinians-deportation.html,301445,119,text/html
nytimes.com/2024/09/29/us/politics/trump-vance-relationship.html,335880,119,text/html
nytimes.com/2024/05/14/us/politics/biden-trump-china-trade.html,352017,127,text/html
nytimes.com/2014/09/30/us/white-house-intruder-got-farther-than-first-reported-official-says.html,295834,115,text/html
nytimes.com/2024/09/22/style/bottega-veneta-gucci-versace-milan-fashion-week.html,373280,119,text/html
nytimes.com/2024/07/23/us/politics/vance-trump-campaign.html,337572,115,text/html
nytimes.com/2024/03/11/us/politics/trump-mentions-cutting-entitlements-and-biden-pounces.html,317322,115,text/html
nytimes.com/2024/05/18/us/politics/trump-nra-endorsement-gun-rights.html,347236,129,text/html
nytimes.com/2016/03/31/arts/television/archer-season-7-tv-review.html,273642,127,text/html
nytimes.com/2024/09/26/movies/megalopolis-review-francis-ford-coppola.html,336671,129,text/html
nytimes.com/2020/08/26/business/economy/trump-sanctions-south-china-sea.html,296820,120,text/html
nytimes.com/1940/08/28/archives/the-screen-at-the-rivoli.html,239531,103,text/html
nytimes.com/2021/08/17/us/politics/house-democrats-voting-rights-john-lewis.html,263815,106,text/html
nytimes.com/2020/05/08/arts/television/the-great-hulu.html,321228,126,text/html
nytimes.com/interactive/2024/us/elections/early-vote-tracker-2024.html,420937,137,text/html
nytimes.com/2024/08/15/us/politics/drug-prices-medicare.html,381802,132,text/html
nytimes.com/2024/09/26/theater/london-theater-whats-on.html,394192,148,text/html
nytimes.com/2022/10/01/world/europe/washington-putin-nuclear-threats.html,352782,130,text/html
nytimes.com/2024/07/31/us/politics/kamala-harris-immigration.html,328731,122,text/html
nytimes.com/2024/09/29/us/helene-destruction-florida-north-carolina.html,349093,122,text/html
nytimes.com/1988/06/03/movies/review-film-tom-hanks-as-a-13-year-old-in-big.html,270686,105,text/html
nytimes.com/2022/12/04/us/politics/trump-constitution-republicans.html,278211,113,text/html
nytimes.com/1965/11/23/archives/screen-kwaidan-a-trio-of-subtle-horror-talesfine-arts-theater-has.html,241252,103,text/html
nytimes.com/2018/03/01/business/trump-tariffs.html,310115,118,text/html
nytimes.com/2024/09/26/arts/television/freaks-and-geeks-25.html,321694,139,text/html
nytimes.com/2017/02/09/movies/james-baldwin-screenplay-i-am-not-your-negro.html,292688,137,text/html
nytimes.com/2024/02/16/climate/trump-clean-energy-fact-check.html,351634,114,text/html
nytimes.com/2020/01/28/world/middleeast/peace-plan.html,460862,126,text/html
nytimes.com/2024/08/31/us/politics/jd-vance-trump-vp.html,356471,119,text/html
